id,"question",level,"created_at","updated_at"
943,"детство",1,NULL,NULL
944,"остров",1,NULL,NULL
945,"статья",1,NULL,NULL
946,"позвонить",1,NULL,NULL
947,"столь",1,NULL,NULL
948,"мешать",1,NULL,NULL
949,"водка",1,NULL,NULL
950,"темнота",1,NULL,NULL
951,"возникнуть",1,NULL,NULL
952,"способный",1,NULL,NULL
953,"станция",1,NULL,NULL
954,"желать",1,NULL,NULL
955,"попробовать",1,NULL,NULL
956,"получаться",1,NULL,NULL
957,"гражданин",1,NULL,NULL
958,"странно",1,NULL,NULL
959,"вскоре",1,NULL,NULL
960,"интересный",1,NULL,NULL
961,"команда",1,NULL,NULL
962,"заболевание",1,NULL,NULL
963,"живот",1,NULL,NULL
964,"ставить",1,NULL,NULL
965,"ради",1,NULL,NULL
966,"тишина",1,NULL,NULL
967,"понятно",1,NULL,NULL
968,"фронт",1,NULL,NULL
969,"щека",1,NULL,NULL
970,"страшно",1,NULL,NULL
971,"район",1,NULL,NULL
972,"наверно",1,NULL,NULL
973,"проводить",1,NULL,NULL
974,"выражение",1,NULL,NULL
975,"слегка",1,NULL,NULL
976,"мешок",1,NULL,NULL
977,"обещать",1,NULL,NULL
978,"дорогой",1,NULL,NULL
979,"судить",1,NULL,NULL
980,"большинство",1,NULL,NULL
981,"собраться",1,NULL,NULL
982,"управление",1,NULL,NULL
983,"колоть",1,NULL,NULL
984,"мокрый",1,NULL,NULL
985,"приказ",1,NULL,NULL
986,"прямой",1,NULL,NULL
987,"закричать",1,NULL,NULL
988,"кончиться",1,NULL,NULL
989,"куст",1,NULL,NULL
990,"стрелять",1,NULL,NULL
991,"художник",1,NULL,NULL
992,"знак",1,NULL,NULL
993,"завод",1,NULL,NULL
994,"кулак",1,NULL,NULL
995,"использовать",1,NULL,NULL
996,"стакан",1,NULL,NULL
997,"пахнуть",1,NULL,NULL
998,"отсюда",1,NULL,NULL
999,"рот",1,NULL,NULL
1000,"пора",1,NULL,NULL
